"ObjectDN","ObjectOwner","EntityName","ActiveDirectoryRights","ObjectRights","ObjectClass","ObjectClassCategory","EntityType","EntityGroupMembers","EntityGroupMembersCount","isMemberOfOtherGroups","IsInherited","PropagationFlags","InheritanceFlags","InheritedObjectType","InheritanceType","ObjectFlags","AccessControlType","ObjectSID","IdentitySID"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","NT AUTHORITY\SYSTEM","GenericAll","All","top domain domainDNS ","Domain","Other","","0","False","False","None","None","All","None","None","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-18"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","BUILTIN\Administrators","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","top domain domainDNS ","Domain","Group","cbrown ssadmnpri bjperna.dr pramadas.dr rrodriguez.dr atoral.dr ssuvvari.dr epavon.dr lpetitjean.dr selliott.dr jjakubowski.dr whuggins.dr nfedei.dr tphillips.dr MTaranto.DR jadkins.advisor aeufemio.dr mwroblewski.dr dmabiala.dr jmadan.dr jvanderbeek.dr pjurisprudencia.dr jedwards.dr wharp.dr rdequiroz.dr kumblas.dr RDowd.dr aasokan.dr lsmith.dr aortega.dr agilbert.dr dcatto.dr Rsanders.dr RMeine.dr RFernandez.dr svc_rsa infra_svc svc_phxSecretServer","38","True","False","None","ContainerInherit","All","All","None","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-32-544"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Enterprise Admins","GenericAll","All","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","None","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-519"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","PHXC1B\Domain Admins","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","top domain domainDNS ","Domain","Group","cbrown ssadmnpri bjperna.dr pramadas.dr rrodriguez.dr atoral.dr ssuvvari.dr epavon.dr lpetitjean.dr selliott.dr jjakubowski.dr whuggins.dr nfedei.dr tphillips.dr MTaranto.DR jadkins.advisor aeufemio.dr mwroblewski.dr dmabiala.dr jmadan.dr jvanderbeek.dr pjurisprudencia.dr jedwards.dr wharp.dr rdequiroz.dr kumblas.dr RDowd.dr aasokan.dr lsmith.dr aortega.dr agilbert.dr dcatto.dr Rsanders.dr RMeine.dr RFernandez.dr svc_rsa infra_svc svc_phxSecretServer","38","True","False","None","None","All","None","None","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-1735406465-2454681246-2117129149-512"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","ExtendedRight","DS-Replication-Get-Changes","top domain domainDNS ","Domain","Other","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-9"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","ExtendedRight","DS-Replication-Get-Changes-In-Filtered-Set","top domain domainDNS ","Domain","Other","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-9"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","NT AUTHORITY\SELF","WriteProperty","ms-TPM-Tpm-Information-For-Computer","top domain domainDNS ","Domain","Other","","0","False","False","InheritOnly","ContainerInherit","Computer","Descendents","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-10"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","NT AUTHORITY\SELF","ReadProperty, WriteProperty, ExtendedRight","Private-Information","top domain domainDNS ","Domain","Other","","0","False","False","InheritOnly","ContainerInherit","All","Descendents","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-10"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","NT AUTHORITY\SELF","ReadProperty, WriteProperty","ms-DS-Allowed-To-Act-On-Behalf-Of-Other-Identity","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit, ObjectInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-10"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","BUILTIN\Administrators","ExtendedRight","DS-Replication-Get-Changes-All","top domain domainDNS ","Domain","Group","cbrown ssadmnpri bjperna.dr pramadas.dr rrodriguez.dr atoral.dr ssuvvari.dr epavon.dr lpetitjean.dr selliott.dr jjakubowski.dr whuggins.dr nfedei.dr tphillips.dr MTaranto.DR jadkins.advisor aeufemio.dr mwroblewski.dr dmabiala.dr jmadan.dr jvanderbeek.dr pjurisprudencia.dr jedwards.dr wharp.dr rdequiroz.dr kumblas.dr RDowd.dr aasokan.dr lsmith.dr aortega.dr agilbert.dr dcatto.dr Rsanders.dr RMeine.dr RFernandez.dr svc_rsa infra_svc svc_phxSecretServer","38","True","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-32-544"
